 form_comments_chemical_sustances                          focs_id_class
 form_comments_chemical_sustances                      focs_section_form
 form_comments_chemical_sustances                                user_id
 form_comments_chemical_sustances                              focs_date
 form_comments_chemical_sustances                            focs_status
 form_comments_chemical_sustances             focs_observation_corrected
 form_comments_chemical_sustances                                 taskid
 form_comments_chemical_sustances                            focs_answer
 form_comments_chemical_sustances                      focs_observations
 form_comments_chemical_sustances                     focs_creation_date
 form_comments_chemical_sustances                      focs_creator_user
 form_comments_chemical_sustances                       focs_date_update
 form_comments_chemical_sustances                       focs_user_update
 form_comments_chemical_sustances                    focs_observation_bd
                     hire_service                                hise_id
                     hire_service                                prcs_id
                     hire_service                          hise_business
                     hire_service                       hise_id_business
                     hire_service                     hise_creation_date
                     hire_service                      hise_creator_user
                     hire_service                       hise_date_update
                     hire_service                       hise_user_update
                     hire_service                    hise_observation_bd
                   import_request                                inre_id
                   import_request                                chsr_id
                   import_request                                mach_id
                   import_request                                dach_id
                   import_request                     inre_authorization
                   import_request          inre_begin_authorization_date
                   import_request            inre_end_authorization_date
                   import_request                         inre_annulment
                   import_request                    inre_annulment_date
                   import_request                justification_annulment
                   import_request                                dosu_id
                   import_request                            inre_status
                   import_request                       inre_date_status
                   import_request                  user_id_authorization
                   import_request                     user_id_annulmente
                   import_request                     inre_creation_date
                   import_request                      inre_creator_user
                   import_request                       inre_date_update
                   import_request                       inre_user_update
                   import_request                    inre_observation_bd
                   import_request                   inre_processing_code
                   import_request                inre_document_autorizes
                   import_request                   inre_document_cancel
                   import_request                         inre_parent_id
                   import_request                                 req_no
                   import_request                             req_dcm_cd
                   import_request                              inre_type
                   import_request                            afr_prst_cd
                   import_request                                 mdf_dt
                   import_request                     user_id_correction
                   import_request               inre_document_correction
                   import_request             inre_begin_correction_date
                   import_request               inre_end_correction_date
                   import_request                               req_proc
                   import_request                        inre_correction
                   import_request               justification_correction
                   import_request                    process_instance_id
               import_request_ext                  id_import_request_ext
               import_request_ext                                 req_no
               import_request_ext                             req_dcm_cd
               import_request_ext                             req_dcm_nm
               import_request_ext                            req_city_cd
               import_request_ext                            req_city_nm
               import_request_ext                                 req_de
               import_request_ext                                 apv_de
               import_request_ext                             lic_ini_de
               import_request_ext                             lic_exp_de
               import_request_ext                       ctft_iss_city_cd
               import_request_ext                       ctft_iss_city_nm
               import_request_ext                             dclr_cl_cd
               import_request_ext                             dclr_cl_nm
               import_request_ext                    dclr_idt_no_type_cd
               import_request_ext                    dclr_idt_no_type_nm
               import_request_ext                            dclr_idt_no
               import_request_ext                            dclr_cmp_nm
               import_request_ext                                dclr_nm
               import_request_ext                          dclr_prvhc_cd
               import_request_ext                          dclr_prvhc_nm
               import_request_ext                           dclr_cuty_cd
               import_request_ext                           dclr_cuty_nm
               import_request_ext                           dclr_prqi_cd
               import_request_ext                           dclr_prqi_nm
               import_request_ext                                dclr_ad
               import_request_ext                            dclr_tel_no
               import_request_ext                            dclr_cel_no
               import_request_ext                                dclr_em
               import_request_ext                             impr_cl_cd
               import_request_ext                             impr_cl_nm
               import_request_ext                    impr_idt_no_type_cd
               import_request_ext                    impr_idt_no_type_nm
               import_request_ext                            impr_idt_no
               import_request_ext                                impr_nm
               import_request_ext                            impr_cmp_nm
               import_request_ext                            impr_rsq_cd
               import_request_ext                          impr_prvhc_cd
               import_request_ext                          impr_prvhc_nm
               import_request_ext                           impr_cuty_cd
               import_request_ext                           impr_cuty_nm
               import_request_ext                           impr_prqi_cd
               import_request_ext                           impr_prqi_nm
               import_request_ext                                impr_ad
               import_request_ext                            impr_tel_no
               import_request_ext                                impr_em
               import_request_ext                             ld_ctry_cd
               import_request_ext                             ld_ctry_nm
               import_request_ext                         ld_trsp_way_cd
               import_request_ext                         ld_trsp_way_nm
               import_request_ext                             ld_port_cd
               import_request_ext                             ld_port_nm
               import_request_ext                          ld_unld_pl_cd
               import_request_ext                          ld_unld_pl_nm
               import_request_ext                      estado_formulario
               import_request_ext                     estado_transmision
              location_substances                                losu_id
              location_substances                                mach_id
              location_substances                                gelo_id
              location_substances                                geca_id
              location_substances                             losu_email
              location_substances                             losu_phone
              location_substances                            losu_adress
              location_substances                            losu_status
              location_substances                     losu_creation_date
              location_substances                      losu_creator_user
              location_substances                       losu_date_update
              location_substances                       losu_user_update
              location_substances                    losu_observation_bd
              location_substances                  losu_process_activity
              location_substances                   losu_average_product
              location_substances                  losu_average_sustance
              location_substances                      losu_observations
              location_substances                                chsr_id
              location_substances                        losu_inspection
              location_substances                           losu_support
              location_substances                          losu_complies
              location_substances             losu_observations_complies
              location_substances                   losu_inspection_date
              location_substances                      losu_support_date
              location_substances                     losu_complies_date
              location_substances                        user_id_support
              location_substances                        area_id_support
              location_substances                             losu_place
              location_substances                            losu_coor_x
              location_substances                            losu_coor_y
             permission_statement                                pest_id
             permission_statement                         pest_parent_id
             permission_statement                                chsr_id
             permission_statement                                dach_id
             permission_statement                             pest_quota
             permission_statement                    pest_quota_increase
             permission_statement                    pest_quota_previous
             permission_statement                       pest_quota_check
             permission_statement                             pest_stock
             permission_statement                       pest_stock_check
             permission_statement                             pest_month
             permission_statement                              pest_year
             permission_statement                    pest_import_license
             permission_statement      pest_monthly_statement_substances
             permission_statement                      pest_route_guides
             permission_statement                            pest_status
             permission_statement                       pest_status_date
             permission_statement                     pest_creation_date
             permission_statement                      pest_creator_user
             permission_statement                       pest_date_update
             permission_statement                       pest_user_update
             permission_statement                    pest_observation_bd
             permission_statement                     pest_current_stock
                   reports_trades                                retr_id
                   reports_trades                                chsr_id
                   reports_trades                                geca_id
                   reports_trades                   retr_evaluation_date
                   reports_trades                              retr_code
                   reports_trades                            retr_number
                   reports_trades                      retr_request_date
                   reports_trades                            retr_status
                   reports_trades                       retr_status_date
                   reports_trades                retr_status_observation
                   reports_trades                     retr_creation_date
                   reports_trades                      retr_creator_user
                   reports_trades                       retr_date_update
                   reports_trades                       retr_user_update
                   reports_trades                    retr_observation_bd
                   reports_trades                                area_id
   responsable_chemical_sustances                                recs_id
   responsable_chemical_sustances                                losu_id
   responsable_chemical_sustances                                geca_id
   responsable_chemical_sustances                    geca_id_responsable
   responsable_chemical_sustances                    recs_identification
   responsable_chemical_sustances                              recs_name
   responsable_chemical_sustances                             recs_phone
   responsable_chemical_sustances                             recs_email
   responsable_chemical_sustances                           recs_address
   responsable_chemical_sustances                    recs_craft_operator
   responsable_chemical_sustances             recs_loading_artisan_title
   responsable_chemical_sustances          recs_technical_responsibility
   responsable_chemical_sustances                            recs_status
   responsable_chemical_sustances                     recs_creation_date
   responsable_chemical_sustances                      recs_creator_user
   responsable_chemical_sustances                       recs_date_update
   responsable_chemical_sustances                       recs_user_update
   responsable_chemical_sustances                    recs_observation_bd
   responsable_chemical_sustances                      recs_title_number
   responsable_chemical_sustances                        recs_title_name
